Module,Gene
SASP_GrowthFactors_TGF_Signals,INHBA
SASP_GrowthFactors_TGF_Signals,VEGFA
SASP_GrowthFactors_TGF_Signals,FGF2
SASP_GrowthFactors_TGF_Signals,HGF
SASP_GrowthFactors_TGF_Signals,EGF
SASP_GrowthFactors_TGF_Signals,AREG
SASP_GrowthFactors_TGF_Signals,EREG
SASP_GrowthFactors_TGF_Signals,IGFBP3
SASP_GrowthFactors_TGF_Signals,IGFBP7
SASP_Proteases_ECM_Remodeling,MMP1
SASP_Proteases_ECM_Remodeling,MMP3
SASP_Proteases_ECM_Remodeling,MMP9
SASP_Proteases_ECM_Remodeling,MMP12
SASP_Proteases_ECM_Remodeling,MMP14
SASP_Proteases_ECM_Remodeling,TIMP1
SASP_Proteases_ECM_Remodeling,TIMP2
SASP_Proteases_ECM_Remodeling,SERPINE1
SASP_Proteases_ECM_Remodeling,PLAU
SASP_Proteases_ECM_Remodeling,COL1A1
SASP_Proteases_ECM_Remodeling,COL3A1
SASP_Proteases_ECM_Remodeling,FN1
Mitochondrial_Dysfunction_ROS,SOD2
Mitochondrial_Dysfunction_ROS,PRDX3
Mitochondrial_Dysfunction_ROS,PRDX5
Mitochondrial_Dysfunction_ROS,GPX1
Mitochondrial_Dysfunction_ROS,UQCRC2
Mitochondrial_Dysfunction_ROS,NDUFS1
Mitochondrial_Dysfunction_ROS,NDUFA9
Mitochondrial_Dysfunction_ROS,MT-ND1
Mitochondrial_Dysfunction_ROS,MT-CO1
Mitochondrial_Dysfunction_ROS,TFAM
Mitochondrial_Dysfunction_ROS,PPARGC1A
Mitochondrial_Dysfunction_ROS,SIRT3
Autophagy_Lysosome,BECN1
Autophagy_Lysosome,ATG5
Autophagy_Lysosome,ATG7
Autophagy_Lysosome,ATG3
Autophagy_Lysosome,ATG12
Autophagy_Lysosome,ATG16L1
Autophagy_Lysosome,ULK1
Autophagy_Lysosome,MAP1LC3B
Autophagy_Lysosome,SQSTM1
Autophagy_Lysosome,LAMP1
Autophagy_Lysosome,LAMP2
Autophagy_Lysosome,CTSB
Autophagy_Lysosome,CTSL
Autophagy_Lysosome,CTSD
Autophagy_Lysosome,LYZ
NFkB_STING_Pathway_Regulators,RELA
NFkB_STING_Pathway_Regulators,NFKB1
NFkB_STING_Pathway_Regulators,NFKBIA
NFkB_STING_Pathway_Regulators,IKBKB
NFkB_STING_Pathway_Regulators,TAB1
NFkB_STING_Pathway_Regulators,TAB2
NFkB_STING_Pathway_Regulators,TAB3
NFkB_STING_Pathway_Regulators,MAP3K7
NFkB_STING_Pathway_Regulators,MB21D1
NFkB_STING_Pathway_Regulators,TMEM173
NFkB_STING_Pathway_Regulators,TBK1
NFkB_STING_Pathway_Regulators,IRF3
Immune_Clearance_of_Senescent_Cells,MICA
Immune_Clearance_of_Senescent_Cells,MICB
Immune_Clearance_of_Senescent_Cells,ULBP1
Immune_Clearance_of_Senescent_Cells,ULBP2
Immune_Clearance_of_Senescent_Cells,ULBP3
Immune_Clearance_of_Senescent_Cells,KLRK1
Immune_Clearance_of_Senescent_Cells,CX3CL1
Immune_Clearance_of_Senescent_Cells,ICAM1
Immune_Clearance_of_Senescent_Cells,VCAM1
Immune_Clearance_of_Senescent_Cells,GZMB
Immune_Clearance_of_Senescent_Cells,PRF1
Immune_Clearance_of_Senescent_Cells,IFNG
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,PDGFRB
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,PDGFRL
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,ACTA2
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,TAGLN
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,COL1A1
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,COL1A2
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,COL3A1
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,LAMA2
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,LAMB1
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,LOX
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,LOXL2
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,YAP1
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,TEAD1
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,CTGF
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,TGFBR1
Hepatic_Stellate_Cell_Senescence_and_Fibrosis,TGFBR2
